storm_id,name,point_index,time,year,lat,lon,wind_kt,wind_kph,on_land,dist_to_coast_km
WP022000,LONGWANG,0,2000-05-17 18:00:00,2000,17.8,121.6,15.0,27.78,True,57.10150773262725
WP022000,LONGWANG,1,2000-05-18 00:00:00,2000,18.2,122.2,20.0,37.04,True,5.748705183916622
WP022000,LONGWANG,2,2000-05-18 06:00:00,2000,18.7,122.6,20.0,37.04,False,43.56690249136304
WP022000,LONGWANG,3,2000-05-18 12:00:00,2000,19.4,123.2,20.0,37.04,False,127.27034428069932
WP022000,LONGWANG,4,2000-05-18 18:00:00,2000,20.1,124.2,30.0,55.56,False,229.6754428222902
WP022000,LONGWANG,5,2000-05-19 00:00:00,2000,20.9,125.3,35.0,64.82000000000001,False,343.16720371464544
WP032000,UNNAMED,0,2000-05-21 00:00:00,2000,18.3,118.3,30.0,55.56,False,227.88684089002172
WP032000,UNNAMED,1,2000-05-21 06:00:00,2000,19.5,119.7,30.0,55.56,False,143.4799662443414
WP032000,UNNAMED,2,2000-05-21 12:00:00,2000,20.4,121.6,30.0,55.56,False,25.708041502816073
WP032000,UNNAMED,3,2000-05-21 18:00:00,2000,20.8,123.2,25.0,46.300000000000004,False,126.77705421493047
WP032000,UNNAMED,4,2000-05-22 00:00:00,2000,21.0,125.1,25.0,46.300000000000004,False,324.2929448304181
WP042000,UNNAMED,0,2000-05-29 00:00:00,2000,10.5,116.6,20.0,37.04,False,197.71149332537198
WP062000,KAI-TAK,0,2000-07-03 06:00:00,2000,15.7,118.1,15.0,27.78,False,179.22282336872684
WP062000,KAI-TAK,1,2000-07-03 12:00:00,2000,15.9,119.0,15.0,27.78,False,80.97607399412226
WP062000,KAI-TAK,2,2000-07-03 18:00:00,2000,16.1,119.3,20.0,37.04,False,49.249666774970876
WP062000,KAI-TAK,3,2000-07-04 00:00:00,2000,16.4,119.6,20.0,37.04,False,21.24690880902269
WP062000,KAI-TAK,4,2000-07-04 06:00:00,2000,17.2,120.2,30.0,55.56,False,21.481075995768087
WP062000,KAI-TAK,5,2000-07-04 12:00:00,2000,18.2,120.4,25.0,46.300000000000004,False,12.527598142035849
