storm_id,name,point_index,time,year,lat,lon,wind_kt,wind_kph
WP012000,DAMREY,0,2000-05-03 18:00:00,2000,6.2,135.7,25.0,46.300000000000004
WP012000,DAMREY,1,2000-05-04 00:00:00,2000,7.3,135.4,25.0,46.300000000000004
WP012000,DAMREY,2,2000-05-04 06:00:00,2000,8.1,135.3,25.0,46.300000000000004
WP012000,DAMREY,3,2000-05-04 12:00:00,2000,8.6,135.4,25.0,46.300000000000004
WP012000,DAMREY,4,2000-05-04 18:00:00,2000,9.1,135.5,25.0,46.300000000000004
WP012000,DAMREY,5,2000-05-05 00:00:00,2000,9.5,135.2,25.0,46.300000000000004
WP012000,DAMREY,6,2000-05-05 06:00:00,2000,9.8,134.7,25.0,46.300000000000004
WP012000,DAMREY,7,2000-05-05 12:00:00,2000,10.2,134.2,25.0,46.300000000000004
WP012000,DAMREY,8,2000-05-05 18:00:00,2000,10.8,133.5,30.0,55.56
WP012000,DAMREY,9,2000-05-06 00:00:00,2000,11.3,132.9,30.0,55.56
WP012000,DAMREY,10,2000-05-06 06:00:00,2000,11.9,132.4,35.0,64.82000000000001
WP012000,DAMREY,11,2000-05-06 12:00:00,2000,12.4,132.2,40.0,74.08
WP012000,DAMREY,12,2000-05-06 18:00:00,2000,12.8,131.8,55.0,101.86
WP012000,DAMREY,13,2000-05-07 00:00:00,2000,13.1,131.6,60.0,111.12
WP012000,DAMREY,14,2000-05-07 06:00:00,2000,13.4,131.5,65.0,120.38000000000001
WP012000,DAMREY,15,2000-05-07 12:00:00,2000,13.6,131.5,70.0,129.64000000000001
WP012000,DAMREY,16,2000-05-07 18:00:00,2000,13.7,131.5,75.0,138.9
WP012000,DAMREY,17,2000-05-08 00:00:00,2000,13.9,131.6,75.0,138.9
WP012000,DAMREY,18,2000-05-08 06:00:00,2000,14.3,132.0,75.0,138.9
WP012000,DAMREY,19,2000-05-08 12:00:00,2000,14.6,132.4,85.0,157.42000000000002
WP012000,DAMREY,20,2000-05-08 18:00:00,2000,15.1,133.0,105.0,194.46
WP012000,DAMREY,21,2000-05-09 00:00:00,2000,15.7,133.5,115.0,212.98000000000002
WP012000,DAMREY,22,2000-05-09 06:00:00,2000,16.4,134.4,130.0,240.76000000000002
WP012000,DAMREY,23,2000-05-09 12:00:00,2000,17.3,135.2,150.0,277.8
WP012000,DAMREY,24,2000-05-09 18:00:00,2000,18.6,136.1,155.0,287.06
WP012000,DAMREY,25,2000-05-10 00:00:00,2000,19.5,136.8,140.0,259.28000000000003
WP012000,DAMREY,26,2000-05-10 06:00:00,2000,20.8,137.6,105.0,194.46
WP012000,DAMREY,27,2000-05-10 12:00:00,2000,21.9,138.3,90.0,166.68
WP012000,DAMREY,28,2000-05-10 18:00:00,2000,22.9,139.1,65.0,120.38000000000001
WP012000,DAMREY,29,2000-05-11 00:00:00,2000,23.8,139.8,55.0,101.86
WP012000,DAMREY,30,2000-05-11 06:00:00,2000,25.0,140.9,45.0,83.34
WP012000,DAMREY,31,2000-05-11 12:00:00,2000,26.1,142.1,40.0,74.08
WP012000,DAMREY,32,2000-05-11 18:00:00,2000,27.1,143.6,35.0,64.82000000000001
WP012000,DAMREY,33,2000-05-12 00:00:00,2000,27.7,145.8,30.0,55.56
WP012000,DAMREY,34,2000-05-12 06:00:00,2000,28.2,147.8,25.0,46.300000000000004
WP012000,DAMREY,35,2000-05-12 12:00:00,2000,28.3,148.9,25.0,46.300000000000004
WP022000,LONGWANG,0,2000-05-17 18:00:00,2000,17.8,121.6,15.0,27.78
WP022000,LONGWANG,1,2000-05-18 00:00:00,2000,18.2,122.2,20.0,37.04
WP022000,LONGWANG,2,2000-05-18 06:00:00,2000,18.7,122.6,20.0,37.04
WP022000,LONGWANG,3,2000-05-18 12:00:00,2000,19.4,123.2,20.0,37.04
WP022000,LONGWANG,4,2000-05-18 18:00:00,2000,20.1,124.2,30.0,55.56
WP022000,LONGWANG,5,2000-05-19 00:00:00,2000,20.9,125.3,35.0,64.82000000000001
WP022000,LONGWANG,6,2000-05-19 06:00:00,2000,22.1,126.4,35.0,64.82000000000001
WP022000,LONGWANG,7,2000-05-19 12:00:00,2000,23.3,128.2,40.0,74.08
WP022000,LONGWANG,8,2000-05-19 18:00:00,2000,24.2,129.8,35.0,64.82000000000001
WP022000,LONGWANG,9,2000-05-20 00:00:00,2000,25.7,132.4,30.0,55.56
WP022000,LONGWANG,10,2000-05-20 06:00:00,2000,27.2,135.6,25.0,46.300000000000004
WP032000,UNNAMED,0,2000-05-21 00:00:00,2000,18.3,118.3,30.0,55.56
WP032000,UNNAMED,1,2000-05-21 06:00:00,2000,19.5,119.7,30.0,55.56
WP032000,UNNAMED,2,2000-05-21 12:00:00,2000,20.4,121.6,30.0,55.56
WP032000,UNNAMED,3,2000-05-21 18:00:00,2000,20.8,123.2,25.0,46.300000000000004
WP032000,UNNAMED,4,2000-05-22 00:00:00,2000,21.0,125.1,25.0,46.300000000000004
WP042000,UNNAMED,0,2000-05-29 00:00:00,2000,10.5,116.6,20.0,37.04
WP042000,UNNAMED,1,2000-05-29 06:00:00,2000,10.7,115.4,20.0,37.04
WP042000,UNNAMED,2,2000-05-29 12:00:00,2000,10.9,114.2,20.0,37.04
WP042000,UNNAMED,3,2000-05-29 18:00:00,2000,11.1,113.0,20.0,37.04
WP042000,UNNAMED,4,2000-05-30 00:00:00,2000,11.4,112.4,20.0,37.04
WP042000,UNNAMED,5,2000-05-30 06:00:00,2000,11.7,111.8,20.0,37.04
WP042000,UNNAMED,6,2000-05-30 12:00:00,2000,12.0,111.3,25.0,46.300000000000004
WP042000,UNNAMED,7,2000-05-30 18:00:00,2000,12.6,111.2,25.0,46.300000000000004
WP042000,UNNAMED,8,2000-05-31 00:00:00,2000,13.4,111.1,25.0,46.300000000000004
WP042000,UNNAMED,9,2000-05-31 06:00:00,2000,14.2,110.7,25.0,46.300000000000004
WP042000,UNNAMED,10,2000-05-31 12:00:00,2000,14.8,110.0,30.0,55.56
WP042000,UNNAMED,11,2000-05-31 18:00:00,2000,15.4,109.4,30.0,55.56
WP042000,UNNAMED,12,2000-06-01 00:00:00,2000,16.1,108.8,25.0,46.300000000000004
WP042000,UNNAMED,13,2000-06-01 06:00:00,2000,16.9,108.1,25.0,46.300000000000004
WP042000,UNNAMED,14,2000-06-01 12:00:00,2000,17.5,107.5,25.0,46.300000000000004
WP052000,KIROGI,0,2000-07-02 00:00:00,2000,13.1,133.4,25.0,46.300000000000004
WP052000,KIROGI,1,2000-07-02 06:00:00,2000,13.6,133.0,25.0,46.300000000000004
WP052000,KIROGI,2,2000-07-02 12:00:00,2000,14.2,132.6,30.0,55.56
WP052000,KIROGI,3,2000-07-02 18:00:00,2000,14.7,132.3,35.0,64.82000000000001
WP052000,KIROGI,4,2000-07-03 00:00:00,2000,15.2,132.1,40.0,74.08
WP052000,KIROGI,5,2000-07-03 06:00:00,2000,15.9,131.9,45.0,83.34
WP052000,KIROGI,6,2000-07-03 12:00:00,2000,16.5,131.8,55.0,101.86
WP052000,KIROGI,7,2000-07-03 18:00:00,2000,17.0,131.7,65.0,120.38000000000001
WP052000,KIROGI,8,2000-07-04 00:00:00,2000,17.5,131.7,75.0,138.9
WP052000,KIROGI,9,2000-07-04 06:00:00,2000,18.4,131.7,100.0,185.20000000000002
WP052000,KIROGI,10,2000-07-04 12:00:00,2000,19.2,131.7,115.0,212.98000000000002
WP052000,KIROGI,11,2000-07-04 18:00:00,2000,20.0,131.8,115.0,212.98000000000002
WP052000,KIROGI,12,2000-07-05 00:00:00,2000,20.7,132.0,115.0,212.98000000000002
WP052000,KIROGI,13,2000-07-05 06:00:00,2000,21.7,132.6,115.0,212.98000000000002
WP052000,KIROGI,14,2000-07-05 12:00:00,2000,22.4,133.1,110.0,203.72
