storm_id,expected_pop_affected,expected_infra_loss,expected_network_loss,expected_composite_consequence,mean_p_fail,max_p_fail,n_buses_with_pfail_20,n_buses_with_pfail_50,n_buses_with_pfail_80,storm_name,year,rank,impact_score,rank_functional,rank_shift_functional
WP182006,95629361.43952945,17.896373941548614,10.986034367091143,18.93120927497057,0.05721892899526637,0.8322925099876576,14,2,1,XANGSANE,2006,1,18.795305651836756,1,0
WP222020,77896898.73905884,13.601538503065614,8.28603399832326,14.75980822874427,0.043156427074600316,0.9644241239114538,7,2,2,GONI,2020,6,12.112664584710473,2,4
WP312000,94354376.16100694,12.503132722311522,6.944677287716195,13.908448138661797,0.03617019420685518,0.4555828102487904,5,0,0,BEBINCA,2000,3,14.236040885320335,3,0
WP302000,77937478.11895545,12.194144991502094,7.298218024950044,12.958584217433412,0.03801155221328148,0.4258854752065335,8,0,0,XANGSANE,2000,4,14.213882684655534,4,0
WP072008,85617632.00429022,11.956134930948995,6.897168159164378,12.660660413094051,0.03592275082898114,0.35363696828309865,4,0,0,FENGSHEN,2008,2,16.209838260658596,5,-3
WP092014,54526877.40541582,10.971003282499092,6.876900915993771,11.36996057850861,0.035817192270800886,0.6779637104261311,4,3,0,RAMMASUN,2014,7,10.928688063531988,6,1
WP182022,59633096.489086546,10.607052041255132,6.699106689430433,11.233816276518322,0.03489118067411684,0.8745291968281907,4,2,1,NORU,2022,8,9.85333795745838,7,1
WP312013,31247141.220058717,9.755256307555271,7.116530245002872,10.057926898444684,0.03706526169272329,0.977065774344379,5,4,2,HAIYAN,2013,15,5.927831342613349,8,7
WP242006,35297056.96616728,9.470901225745271,6.162687446450544,9.776128655776295,0.03209733045026325,0.7337723583952128,5,2,0,DURIAN,2006,13,6.337720509483108,9,4
WP262022,58704694.4827456,9.317027543418687,5.608912117111219,9.557656671970113,0.029213083943287598,0.1248259568232271,0,0,0,NALGAE,2022,5,13.327786751969864,10,-5
WP242015,29424973.393016353,7.685857067718217,5.318197179868144,7.810499822154644,0.027698943645146582,0.6908332870262182,4,1,0,KOPPU,2015,20,5.386126480305187,11,9
WP302019,25708778.435756087,7.196177528620153,5.249186428445163,7.342601874665199,0.02733951264815189,0.8832711504772431,3,3,1,PHANFONE,2019,30,3.2617729260350927,12,18
WP012024,40661470.624185145,7.1890055119128204,4.495883620881148,7.323316631398036,0.02341606052542265,0.17339714826317287,0,0,0,EWINIAR,2024,11,7.437326130490724,13,-2
WP312018,25297111.7057441,7.1531167431463025,5.046061322905621,7.255399533900811,0.026281569390133444,0.5857204604492399,4,1,0,YUTU,2018,28,3.3692288424497465,14,14
WP132002,46155668.547910094,7.102789199615952,4.323329117995768,7.23907215929504,0.02251733915622796,0.0850388959741188,0,0,0,UNNAMED,2002,9,9.491433358779041,15,-6
WP152010,24512855.008836515,7.039189923532821,4.7904633127869225,7.157998561297604,0.024950329754098555,0.863566450191249,3,1,1,MEGI,2010,27,3.4371073936704333,16,11
WP032010,47657458.738036595,6.883683809300032,4.045748724440038,7.135931445328824,0.021071607939791865,0.21785012690948752,1,0,0,CONSON,2010,12,7.4302896168434325,17,-5
WP112013,26170034.409492828,6.916245641445595,4.83920570953478,7.051305193223846,0.02520419640382698,0.7258399985937932,3,1,0,UTOR,2013,31,3.2066800321507984,18,13
WP282021,30331780.98916314,6.920760036193185,4.795848926467072,7.0184645508767805,0.024978379825349336,0.27648054988930865,2,0,0,RAI,2021,21,5.353779188681439,19,2
WP242013,32496977.139259085,6.773824154355786,4.459047032279706,6.969268207909037,0.02322420329312347,0.5192758409563916,3,1,0,NARI,2013,24,4.427597479122383,20,4
WP182021,36077556.16123826,6.8516022753375765,4.416812743568011,6.933892307882385,0.023004233039416722,0.1558655269996072,0,0,0,CONSON,2021,10,8.078017279303879,21,-11
WP252020,43169128.77483691,6.429726029518046,3.9403053742620036,6.60948236392559,0.02052242382428127,0.1847109288721587,0,0,0,VAMCO,2020,14,6.207000146123358,22,-8
WP062013,36698032.959624864,6.184745014990189,3.868461812637742,6.29286713664476,0.02014823860748824,0.1340021076828041,0,0,0,RUMBIA,2013,16,5.730395552330449,23,-7
WP232009,30752102.566050153,6.145970056494242,3.9514100748570455,6.2048396197948135,0.020580260806547113,0.24968802875423313,1,0,0,MIRINAE,2009,18,5.620774521077393,24,-6
