storm_id,storm_name,year,n_failed_lines,failed_line_share,n_unserved_buses,unserved_bus_share,affected_population_proxy,n_components_after_failure,rank
WP312013,HAIYAN,2013,4,0.01694915254237288,0,0.0,0.0,4,1
WP222020,GONI,2020,3,0.012711864406779662,0,0.0,0.0,3,2
WP012001,UNNAMED,2001,0,0.0,0,0.0,0.0,1,3
WP012002,TAPAH,2002,0,0.0,0,0.0,0.0,1,4
WP012008,UNNAMED,2008,0,0.0,0,0.0,0.0,1,5
WP012009,KUJIRA,2009,0,0.0,0,0.0,0.0,1,6
WP012012,UNNAMED,2012,0,0.0,0,0.0,0.0,1,7
WP012013,SONAMU,2013,0,0.0,0,0.0,0.0,1,8
WP012014,LINGLING,2014,0,0.0,0,0.0,0.0,1,9
WP012015,MEKKHALA,2015,0,0.0,0,0.0,0.0,1,10
WP012017,UNNAMED,2017,0,0.0,0,0.0,0.0,1,11
WP012018,BOLAVEN,2017,0,0.0,0,0.0,0.0,1,12
WP012019,UNNAMED,2019,0,0.0,0,0.0,0.0,1,13
WP012020,VONGFONG,2020,0,0.0,0,0.0,0.0,1,14
WP012021,DUJUAN,2021,0,0.0,0,0.0,0.0,1,15
WP012024,EWINIAR,2024,0,0.0,0,0.0,0.0,1,16
WP022000,LONGWANG,2000,0,0.0,0,0.0,0.0,1,17
WP022001,UNNAMED,2001,0,0.0,0,0.0,0.0,1,18
WP022003,KUJIRA,2003,0,0.0,0,0.0,0.0,1,19
WP022004,UNNAMED,2004,0,0.0,0,0.0,0.0,1,20
WP022005,ROKE,2005,0,0.0,0,0.0,0.0,1,21
WP022006,CHANCHU,2006,0,0.0,0,0.0,0.0,1,22
WP022008,NEOGURI,2008,0,0.0,0,0.0,0.0,1,23
WP022009,CHAN-HOM,2009,0,0.0,0,0.0,0.0,1,24
WP022013,SHANSHAN,2013,0,0.0,0,0.0,0.0,1,25
WP022014,KAJIKI,2014,0,0.0,0,0.0,0.0,1,26
WP022016,NEPARTAK,2016,0,0.0,0,0.0,0.0,1,27
WP022017,UNNAMED,2017,0,0.0,0,0.0,0.0,1,28
WP022018,SANBA,2018,0,0.0,0,0.0,0.0,1,29
WP022020,NURI,2020,0,0.0,0,0.0,0.0,1,30
WP022021,SURIGAE,2021,0,0.0,0,0.0,0.0,1,31
WP022023,MAWAR,2023,0,0.0,0,0.0,0.0,1,32
WP032000,UNNAMED,2000,0,0.0,0,0.0,0.0,1,33
WP032001,CIMARON,2001,0,0.0,0,0.0,0.0,1,34
WP032002,UNNAMED,2002,0,0.0,0,0.0,0.0,1,35
WP032006,JELAWAT,2006,0,0.0,0,0.0,0.0,1,36
WP032009,LINFA,2009,0,0.0,0,0.0,0.0,1,37
WP032010,CONSON,2010,0,0.0,0,0.0,0.0,1,38
WP032011,AERE,2011,0,0.0,0,0.0,0.0,1,39
WP032015,BAVI,2015,0,0.0,0,0.0,0.0,1,40
WP032019,UNNAMED,2019,0,0.0,0,0.0,0.0,1,41
WP032020,HAGUPIT,2020,0,0.0,0,0.0,0.0,1,42
WP032021,UNNAMED,2021,0,0.0,0,0.0,0.0,1,43
WP032022,MEGI,2022,0,0.0,0,0.0,0.0,1,44
WP042000,UNNAMED,2000,0,0.0,0,0.0,0.0,1,45
WP042001,CHEBI,2001,0,0.0,0,0.0,0.0,1,46
WP042004,NIDA,2004,0,0.0,0,0.0,0.0,1,47
WP042006,EWINIAR,2006,0,0.0,0,0.0,0.0,1,48
WP042008,MATMO,2008,0,0.0,0,0.0,0.0,1,49
WP042009,NANGKA,2009,0,0.0,0,0.0,0.0,1,50
WP042010,CHANTHU,2010,0,0.0,0,0.0,0.0,1,51
WP042011,SONGDA,2011,0,0.0,0,0.0,0.0,1,52
WP042012,MAWAR,2012,0,0.0,0,0.0,0.0,1,53
WP042013,LEEPI,2013,0,0.0,0,0.0,0.0,1,54
WP042014,UNNAMED,2014,0,0.0,0,0.0,0.0,1,55
WP042015,MAYSAK,2015,0,0.0,0,0.0,0.0,1,56
WP042017,MERBOK,2017,0,0.0,0,0.0,0.0,1,57
WP042019,UNNAMED,2019,0,0.0,0,0.0,0.0,1,58
WP042020,SINLAKU,2020,0,0.0,0,0.0,0.0,1,59
WP042021,CHOI-WAN,2021,0,0.0,0,0.0,0.0,1,60
WP042023,TALIM,2023,0,0.0,0,0.0,0.0,1,61
WP052001,DURIAN,2001,0,0.0,0,0.0,0.0,1,62
WP052003,LINFA,2003,0,0.0,0,0.0,0.0,1,63
WP052005,HAITANG,2005,0,0.0,0,0.0,0.0,1,64
WP052006,BILIS,2006,0,0.0,0,0.0,0.0,1,65
WP052008,HALONG,2008,0,0.0,0,0.0,0.0,1,66
WP052009,SOUDELOR,2009,0,0.0,0,0.0,0.0,1,67
WP052010,DIANMU,2010,0,0.0,0,0.0,0.0,1,68
WP052011,SARIKA,2011,0,0.0,0,0.0,0.0,1,69
WP052012,GUCHOL,2012,0,0.0,0,0.0,0.0,1,70
WP052013,BEBINCA,2013,0,0.0,0,0.0,0.0,1,71
WP052017,NANMADOL,2017,0,0.0,0,0.0,0.0,1,72
WP052020,JANGMI,2020,0,0.0,0,0.0,0.0,1,73
WP052023,DOKSURI,2023,0,0.0,0,0.0,0.0,1,74
WP062000,KAI-TAK,2000,0,0.0,0,0.0,0.0,1,75
WP062001,UTOR,2001,0,0.0,0,0.0,0.0,1,76
WP062002,UNNAMED,2002,0,0.0,0,0.0,0.0,1,77
WP062003,NANGKA,2003,0,0.0,0,0.0,0.0,1,78
WP062006,KAEMI,2006,0,0.0,0,0.0,0.0,1,79
WP062009,UNNAMED,2009,0,0.0,0,0.0,0.0,1,80
WP062010,MINDULLE,2010,0,0.0,0,0.0,0.0,1,81
WP062011,HAIMA,2011,0,0.0,0,0.0,0.0,1,82
WP062012,TALIM,2012,0,0.0,0,0.0,0.0,1,83
WP062013,RUMBIA,2013,0,0.0,0,0.0,0.0,1,84
WP062015,NOUL,2015,0,0.0,0,0.0,0.0,1,85
WP062016,NIDA,2016,0,0.0,0,0.0,0.0,1,86
WP062018,MALIKSI,2018,0,0.0,0,0.0,0.0,1,87
WP062019,DANAS,2019,0,0.0,0,0.0,0.0,1,88
WP072000,UNNAMED,2000,0,0.0,0,0.0,0.0,1,89
WP072001,TRAMI,2001,0,0.0,0,0.0,0.0,1,90
