storm_id,storm_name,year,peak_t,peak_affected_population_proxy,peak_affected_population_share_proxy,peak_n_unserved_buses,peak_unserved_bus_share,peak_n_failed_lines_cumulative,peak_failed_line_share_cumulative,final_affected_population_proxy,final_n_unserved_buses,final_n_failed_lines_cumulative,n_timesteps,peak_affected_population_proxy_norm,peak_n_failed_lines_norm,peak_n_unserved_buses_norm,grid_impact_index_v5r_stoch,rank_index
WP072008,FENGSHEN,2008,16,24286094.534361288,0.15713529396946221,20,0.10416666666666667,27,0.11440677966101695,24286094.534361288,20,27,17,1.0,0.5510204081632653,1.0,0.8877551020408163,1
WP182006,XANGSANE,2006,11,16655797.22243917,0.10776593120564341,18,0.09375,49,0.2076271186440678,16655797.22243917,18,49,14,0.6858162064251888,1.0,0.9,0.7964897238551133,2
WP312000,BEBINCA,2000,19,18056005.182088077,0.11682552244813457,15,0.078125,39,0.1652542372881356,18056005.182088077,15,39,22,0.7434709255760106,0.7959183673469388,0.75,0.757562147182341,3
WP312013,HAIYAN,2013,2,17394170.59652655,0.11254333652424192,15,0.078125,18,0.07627118644067797,17394170.59652655,15,18,6,0.716219339915536,0.3673469387755102,0.75,0.6340683386431991,4
WP092014,RAMMASUN,2014,5,11984640.065879226,0.07754272459104773,9,0.046875,20,0.0847457627118644,11984640.065879226,9,20,9,0.4934774526601099,0.40816326530612246,0.45,0.46562728792259656,5
WP302000,XANGSANE,2000,14,10371536.809303641,0.06710566341324203,11,0.057291666666666664,23,0.09745762711864407,10066073.223465323,10,23,18,0.4270565938310677,0.46938775510204084,0.55,0.45608089507415084,6
WP302019,PHANFONE,2019,15,13027043.367016718,0.0842872568964469,10,0.052083333333333336,10,0.0423728813559322,13027043.367016718,10,10,16,0.5363992694908335,0.20408163265306123,0.5,0.4478599698577654,7
WP282021,RAI,2021,8,9951376.663244128,0.06438715352801112,12,0.0625,19,0.08050847457627118,9951376.663244128,12,19,9,0.4097561528126467,0.3877551020408163,0.6,0.4327924671977921,8
WP222020,GONI,2020,8,11269001.123969674,0.07291241503864733,7,0.036458333333333336,17,0.07203389830508475,11269001.123969674,7,17,11,0.464010428190736,0.3469387755102041,0.35,0.4176409507919926,9
WP242006,DURIAN,2006,6,9064871.79017508,0.05865131141317562,6,0.03125,16,0.06779661016949153,9064871.79017508,6,16,13,0.37325358251198465,0.32653061224489793,0.3,0.35058480256841523,10
WP182022,NORU,2022,19,4913329.963406384,0.03179010717744181,6,0.03125,26,0.11016949152542373,4913329.963406384,6,26,20,0.20231041909413378,0.5306122448979592,0.3,0.29903931268097006,11
WP152010,MEGI,2010,17,5783343.06190908,0.037419244616443345,6,0.03125,15,0.0635593220338983,5783343.06190908,6,15,22,0.23813392695669908,0.30612244897959184,0.3,0.2644109684189174,12
WP242015,KOPPU,2015,13,4551236.79434669,0.029447300824447208,5,0.026041666666666668,20,0.0847457627118644,4551236.79434669,5,20,18,0.18740093381038903,0.40816326530612246,0.25,0.251981376612764,13
WP312018,YUTU,2018,16,5354167.323990226,0.03464240226960063,5,0.026041666666666668,14,0.059322033898305086,5354167.323990226,5,14,20,0.22046226149761786,0.2857142857142857,0.25,0.24120592832714213,14
WP262022,NALGAE,2022,30,2939689.441654682,0.019020306617837233,4,0.020833333333333332,22,0.09322033898305085,2939689.441654682,4,22,33,0.12104414060875245,0.4489795918367347,0.2,0.21487138232443512,15
WP222006,CIMARON,2006,8,5485861.878168464,0.03549448914819265,5,0.026041666666666668,8,0.03389830508474576,5485861.878168464,5,8,27,0.2258848935306073,0.16326530612244897,0.25,0.21384726264897663,16
WP302016,NOCK-TEN,2016,8,5758143.456968188,0.03725619874981795,4,0.020833333333333332,7,0.029661016949152543,5758143.456968188,4,7,13,0.23709631241125467,0.14285714285714285,0.2,0.20797207316103852,17
WP222011,NALGAE,2011,9,5056686.14024961,0.032717646801349934,4,0.020833333333333332,6,0.025423728813559324,5056686.14024961,4,6,10,0.2082132280715261,0.12244897959183673,0.2,0.18554018174087483,18
WP292019,KAMMURI,2019,5,4588749.446650982,0.029690014268515752,3,0.015625,8,0.03389830508474576,4588749.446650982,3,8,12,0.188945548250196,0.16326530612244897,0.15,0.1766836554807298,19
WP022006,CHANCHU,2006,15,5182431.059165284,0.033531238495602154,5,0.026041666666666668,2,0.00847457627118644,5182431.059165284,5,2,16,0.21339087895885847,0.04081632653061224,0.25,0.17573860900796814,20
WP262012,BOPHA,2012,5,2373272.040827632,0.015355486625374086,3,0.015625,18,0.07627118644067797,2373272.040827632,3,18,21,0.09772143633344577,0.3673469387755102,0.15,0.172969596493945,21
WP042021,CHOI-WAN,2021,9,4491963.26902467,0.029063790712810934,4,0.020833333333333332,3,0.012711864406779662,4491963.26902467,4,3,15,0.18496029745207473,0.061224489795918366,0.2,0.15628230092022444,22
WP022009,CHAN-HOM,2009,14,2636620.533507198,0.01705939759200027,4,0.020833333333333332,11,0.046610169491525424,2636620.533507198,4,11,16,0.10856502801538402,0.22448979591836735,0.2,0.15126146578882224,23
WP282015,MELOR,2015,13,2358922.186414242,0.015262640548847588,1,0.005208333333333333,14,0.059322033898305086,2358922.186414242,1,14,15,0.09713056922662927,0.2857142857142857,0.05,0.13720691296454898,24
WP222014,HAGUPIT,2014,6,3384417.577397868,0.021897775708127683,2,0.010416666666666666,6,0.025423728813559324,3384417.577397868,2,6,19,0.1393561888927596,0.12244897959183673,0.1,0.12922595823361493,25
WP252006,UTOR,2006,4,4499376.370941281,0.029111754783248203,1,0.005208333333333333,2,0.00847457627118644,4499376.370941281,1,2,13,0.18526553804586895,0.04081632653061224,0.05,0.12886340446017444,26
WP022005,ROKE,2005,5,3345235.9369101524,0.021644263617596537,4,0.020833333333333332,3,0.012711864406779662,3345235.9369101524,4,3,6,0.13774285248610602,0.061224489795918366,0.2,0.1279518339406432,27
WP112013,UTOR,2013,8,1427530.9992292225,0.009236376103907123,2,0.010416666666666666,9,0.038135593220338986,1427530.9992292225,2,9,9,0.05877976787125958,0.1836734693877551,0.1,0.09618622806969453,28
WP192009,PARMA,2009,14,2117531.6196603477,0.013700801216687309,1,0.005208333333333333,6,0.025423728813559324,2117531.6196603477,1,6,36,0.08719111327942616,0.12244897959183673,0.05,0.09042691286561488,29
WP252020,VAMCO,2020,7,389384.9829298258,0.0025193891785854137,2,0.010416666666666666,11,0.046610169491525424,389384.9829298258,2,11,11,0.016033248259776915,0.22448979591836735,0.1,0.08074239793545798,30
WP012020,VONGFONG,2020,7,2327941.2650969625,0.015062188550616763,1,0.005208333333333333,3,0.012711864406779662,2327941.2650969625,1,3,16,0.09585490420467829,0.061224489795918366,0.05,0.08031906497178656,31
WP122003,KROVANH,2003,8,2117531.6196603477,0.013700801216687309,1,0.005208333333333333,3,0.012711864406779662,2117531.6196603477,1,3,9,0.08719111327942616,0.061224489795918366,0.05,0.07512079041663527,32
WP202011,NESAT,2011,7,726656.9216594696,0.004701597815093417,2,0.010416666666666666,8,0.03389830508474576,726656.9216594696,2,8,10,0.02992069888517299,0.16326530612244897,0.1,0.07376874586171603,33
WP222016,AERE,2016,3,2327941.2650969625,0.015062188550616763,1,0.005208333333333333,1,0.00423728813559322,2327941.2650969625,1,1,24,0.09585490420467829,0.02040816326530612,0.05,0.07011498333913352,34
WP252003,NEPARTAK,2003,1,2327941.2650969625,0.015062188550616763,1,0.005208333333333333,1,0.00423728813559322,2327941.2650969625,1,1,8,0.09585490420467829,0.02040816326530612,0.05,0.07011498333913352,35
WP232006,CHEBI,2006,9,47658.53385782242,0.00030835907837330033,1,0.005208333333333333,12,0.05084745762711865,47658.53385782242,1,12,10,0.0019623794921160556,0.24489795918367346,0.05,0.069901917491188,36
WP242013,NARI,2013,9,807482.2736565471,0.00522455202777165,1,0.005208333333333333,7,0.029661016949152543,807482.2736565471,1,7,11,0.03324874950618665,0.14285714285714285,0.05,0.06316353541799771,37
WP302001,KAJIKI,2001,7,1648807.3397575617,0.010668072862239858,2,0.010416666666666666,1,0.00423728813559322,1648807.3397575617,2,1,12,0.06789100394156579,0.02040816326530612,0.1,0.060836643181266,38
WP092023,SAOLA,2023,22,1441926.0728600025,0.009329514756706334,1,0.005208333333333333,3,0.012711864406779662,1441926.0728600025,1,3,67,0.059372496916698034,0.061224489795918366,0.05,0.058429620598998415,39
WP062000,KAI-TAK,2000,15,1504222.379240036,0.009732582792301284,1,0.005208333333333333,2,0.00847457627118644,1504222.379240036,1,2,23,0.06193759878154886,0.04081632653061224,0.05,0.05486664090158237,40
WP022020,NURI,2020,10,1504222.379240036,0.009732582792301284,1,0.005208333333333333,2,0.00847457627118644,1504222.379240036,1,2,16,0.06193759878154886,0.04081632653061224,0.05,0.05486664090158237,41
WP232014,JANGMI,2014,2,1441926.0728600025,0.009329514756706334,1,0.005208333333333333,2,0.00847457627118644,1441926.0728600025,1,2,17,0.059372496916698034,0.04081632653061224,0.05,0.05332757978267188,42
WP092012,VICENTE,2012,1,1611912.4940185547,0.010429356735076875,1,0.005208333333333333,1,0.00423728813559322,1611912.4940185547,1,1,7,0.06637182819732226,0.02040816326530612,0.05,0.052425137734719886,43
WP142011,NANMADOL,2011,15,1275062.5924582481,0.008249878753124136,1,0.005208333333333333,1,0.00423728813559322,1275062.5924582481,1,1,25,0.05250175530092828,0.02040816326530612,0.05,0.044103093996883495,44
WP212007,PEIPAH,2007,2,807482.2736565471,0.00522455202777165,1,0.005208333333333333,3,0.012711864406779662,807482.2736565471,1,3,16,0.03324874950618665,0.061224489795918366,0.05,0.04275537215269158,45
WP052008,HALONG,2008,0,0.0,0.0,0,0.0,8,0.03389830508474576,0.0,0,8,19,0.0,0.16326530612244897,0.0,0.04081632653061224,46
WP042012,MAWAR,2012,0,655063.600446403,0.004238376461855726,1,0.005208333333333333,2,0.00847457627118644,655063.600446403,1,2,15,0.026972784756296792,0.04081632653061224,0.05,0.03388775248643113,47
WP262018,MANGKHUT,2018,0,0.0,0.0,0,0.0,6,0.025423728813559324,0.0,0,6,9,0.0,0.12244897959183673,0.0,0.030612244897959183,48
WP012024,EWINIAR,2024,18,97327.97871303558,0.0006297291038247464,1,0.005208333333333333,4,0.01694915254237288,97327.97871303558,1,4,27,0.0040075599053330975,0.08163265306122448,0.05,0.03031269920850598,49
WP242016,SARIKA,2016,0,0.0,0.0,0,0.0,3,0.012711864406779662,0.0,0,3,12,0.0,0.061224489795918366,0.0,0.015306122448979591,50
WP082004,CHANTHU,2004,0,0.0,0.0,0,0.0,3,0.012711864406779662,0.0,0,3,11,0.0,0.061224489795918366,0.0,0.015306122448979591,51
WP292013,KROSA,2013,0,0.0,0.0,0,0.0,3,0.012711864406779662,0.0,0,3,10,0.0,0.061224489795918366,0.0,0.015306122448979591,52
WP252016,HAIMA,2016,6,27410.15249633789,0.00017734849727138794,1,0.005208333333333333,1,0.00423728813559322,27410.15249633789,1,1,9,0.001128635666700404,0.02040816326530612,0.05,0.013279222216346772,53
WP132002,UNNAMED,2002,0,0.0,0.0,0,0.0,2,0.00847457627118644,0.0,0,2,15,0.0,0.04081632653061224,0.0,0.01020408163265306,54
WP092003,IMBUDO,2003,0,0.0,0.0,0,0.0,2,0.00847457627118644,0.0,0,2,8,0.0,0.04081632653061224,0.0,0.01020408163265306,55
WP102011,NOCK-TEN,2011,0,0.0,0.0,0,0.0,2,0.00847457627118644,0.0,0,2,14,0.0,0.04081632653061224,0.0,0.01020408163265306,56
WP032010,CONSON,2010,0,0.0,0.0,0,0.0,2,0.00847457627118644,0.0,0,2,10,0.0,0.04081632653061224,0.0,0.01020408163265306,57
WP292004,MUIFA,2004,0,0.0,0.0,0,0.0,2,0.00847457627118644,0.0,0,2,27,0.0,0.04081632653061224,0.0,0.01020408163265306,58
WP232009,MIRINAE,2009,0,0.0,0.0,0,0.0,2,0.00847457627118644,0.0,0,2,9,0.0,0.04081632653061224,0.0,0.01020408163265306,59
WP182021,CONSON,2021,0,0.0,0.0,0,0.0,2,0.00847457627118644,0.0,0,2,15,0.0,0.04081632653061224,0.0,0.01020408163265306,60
WP052003,LINFA,2003,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,20,0.0,0.02040816326530612,0.0,0.00510204081632653,61
WP212008,HIGOS,2008,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,10,0.0,0.02040816326530612,0.0,0.00510204081632653,62
WP232011,BANYAN,2011,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,17,0.0,0.02040816326530612,0.0,0.00510204081632653,63
WP142008,UNNAMED,2008,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,15,0.0,0.02040816326530612,0.0,0.00510204081632653,64
WP132008,NURI,2008,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,11,0.0,0.02040816326530612,0.0,0.00510204081632653,65
WP192000,KAEMI,2000,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,1,0.0,0.02040816326530612,0.0,0.00510204081632653,66
WP012001,UNNAMED,2001,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,18,0.0,0.02040816326530612,0.0,0.00510204081632653,67
WP302004,NANMADOL,2004,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,9,0.0,0.02040816326530612,0.0,0.00510204081632653,68
WP332000,RUMBIA,2000,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,17,0.0,0.02040816326530612,0.0,0.00510204081632653,69
WP232022,NESAT,2022,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,21,0.0,0.02040816326530612,0.0,0.00510204081632653,70
WP072010,LIONROCK,2010,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,21,0.0,0.02040816326530612,0.0,0.00510204081632653,71
WP062013,RUMBIA,2013,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,9,0.0,0.02040816326530612,0.0,0.00510204081632653,72
WP142006,SHANSHAN,2006,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,7,0.0,0.02040816326530612,0.0,0.00510204081632653,73
WP022004,UNNAMED,2004,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,19,0.0,0.02040816326530612,0.0,0.00510204081632653,74
WP242003,MELOR,2003,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,14,0.0,0.02040816326530612,0.0,0.00510204081632653,75
WP192020,SAUDEL,2020,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,13,0.0,0.02040816326530612,0.0,0.00510204081632653,76
WP162017,PAKHAR,2017,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,10,0.0,0.02040816326530612,0.0,0.00510204081632653,77
WP182017,MAWAR,2017,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,9,0.0,0.02040816326530612,0.0,0.00510204081632653,78
WP152014,KALMAEGI,2014,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,9,0.0,0.02040816326530612,0.0,0.00510204081632653,79
WP182012,JELAWAT,2012,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,14,0.0,0.02040816326530612,0.0,0.00510204081632653,80
WP242007,MITAG,2007,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,22,0.0,0.02040816326530612,0.0,0.00510204081632653,81
WP242012,SON-TINH,2012,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,10,0.0,0.02040816326530612,0.0,0.00510204081632653,82
WP012015,MEKKHALA,2015,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,14,0.0,0.02040816326530612,0.0,0.00510204081632653,83
WP042011,SONGDA,2011,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,11,0.0,0.02040816326530612,0.0,0.00510204081632653,84
WP162016,MERANTI,2016,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,85
WP062016,NIDA,2016,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,15,0.0,0.0,0.0,0.0,86
WP312017,KIROGI,2017,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,87
WP182016,MALAKAS,2016,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,88
WP022016,NEPARTAK,2016,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,0.0,0.0,0.0,0.0,89
WP202016,MEGI,2016,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,90
WP152016,NAMTHEUN,2016,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,91
WP302017,HAIKUI,2017,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,92
WP282017,DAMREY,2017,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.0,93
WP292016,TOKAGE,2016,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,17,0.0,0.0,0.0,0.0,94
WP242017,KHANUN,2017,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,95
WP222017,UNNAMED,2017,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,96
WP212017,DOKSURI,2017,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,97
WP192017,GUCHOL,2017,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,98
WP152017,HATO,2017,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,99
WP122017,HAITANG,2017,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,100
WP112017,NESAT,2017,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,101
WP102017,ROKE,2017,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,102
WP082017,SONCA,2017,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,103
WP262017,UNNAMED,2017,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,104
WP172013,USAGI,2013,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,105
WP142013,KONG-REY,2013,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,11,0.0,0.0,0.0,0.0,106
WP222015,MUJIGAE,2015,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,0.0,0.0,0.0,0.0,107
WP162015,GONI,2015,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,13,0.0,0.0,0.0,0.0,108
WP132015,SOUDELOR,2015,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,109
WP122015,UNNAMED,2015,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,14,0.0,0.0,0.0,0.0,110
WP102015,LINFA,2015,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,24,0.0,0.0,0.0,0.0,111
WP062015,NOUL,2015,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,112
WP042015,MAYSAK,2015,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,7,0.0,0.0,0.0,0.0,113
WP032015,BAVI,2015,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,114
WP212014,SINLAKU,2014,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,115
WP162014,FUNG-WONG,2014,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,12,0.0,0.0,0.0,0.0,116
WP042001,CHEBI,2001,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,0.0,0.0,0.0,0.0,117
