storm_id,name,point_index,time,year,lat,lon,wind_kt,wind_kph
WP022000,LONGWANG,0,2000-05-17 18:00:00,2000,17.8,121.6,15.0,27.78
WP022000,LONGWANG,1,2000-05-18 00:00:00,2000,18.2,122.2,20.0,37.04
WP022000,LONGWANG,2,2000-05-18 06:00:00,2000,18.7,122.6,20.0,37.04
WP022000,LONGWANG,3,2000-05-18 12:00:00,2000,19.4,123.2,20.0,37.04
WP022000,LONGWANG,4,2000-05-18 18:00:00,2000,20.1,124.2,30.0,55.56
WP022000,LONGWANG,5,2000-05-19 00:00:00,2000,20.9,125.3,35.0,64.82000000000001
WP032000,UNNAMED,0,2000-05-21 00:00:00,2000,18.3,118.3,30.0,55.56
WP032000,UNNAMED,1,2000-05-21 06:00:00,2000,19.5,119.7,30.0,55.56
WP032000,UNNAMED,2,2000-05-21 12:00:00,2000,20.4,121.6,30.0,55.56
WP032000,UNNAMED,3,2000-05-21 18:00:00,2000,20.8,123.2,25.0,46.300000000000004
WP032000,UNNAMED,4,2000-05-22 00:00:00,2000,21.0,125.1,25.0,46.300000000000004
WP042000,UNNAMED,0,2000-05-29 00:00:00,2000,10.5,116.6,20.0,37.04
WP062000,KAI-TAK,0,2000-07-03 06:00:00,2000,15.7,118.1,15.0,27.78
WP062000,KAI-TAK,1,2000-07-03 12:00:00,2000,15.9,119.0,15.0,27.78
WP062000,KAI-TAK,2,2000-07-03 18:00:00,2000,16.1,119.3,20.0,37.04
WP062000,KAI-TAK,3,2000-07-04 00:00:00,2000,16.4,119.6,20.0,37.04
WP062000,KAI-TAK,4,2000-07-04 06:00:00,2000,17.2,120.2,30.0,55.56
WP062000,KAI-TAK,5,2000-07-04 12:00:00,2000,18.2,120.4,25.0,46.300000000000004
WP062000,KAI-TAK,6,2000-07-04 18:00:00,2000,18.5,120.6,25.0,46.300000000000004
WP062000,KAI-TAK,7,2000-07-05 00:00:00,2000,18.8,120.9,25.0,46.300000000000004
WP062000,KAI-TAK,8,2000-07-05 06:00:00,2000,19.0,120.7,25.0,46.300000000000004
WP062000,KAI-TAK,9,2000-07-05 12:00:00,2000,19.0,120.4,30.0,55.56
WP062000,KAI-TAK,10,2000-07-05 18:00:00,2000,19.1,120.2,35.0,64.82000000000001
WP062000,KAI-TAK,11,2000-07-06 00:00:00,2000,19.4,119.9,45.0,83.34
WP062000,KAI-TAK,12,2000-07-06 06:00:00,2000,19.7,119.4,55.0,101.86
