storm_id,name,year,n_points_in_box,max_wind_kph_in_box,mean_wind_kph_in_box,min_lat_in_box,max_lat_in_box,min_lon_in_box,max_lon_in_box
WP182000,BILIS,2000,5,259.28000000000003,251.872,19.2,21.5,122.9,127.2
WP302000,XANGSANE,2000,18,166.68,135.81333333333336,12.4,20.9,118.1,126.3
WP312000,BEBINCA,2000,22,157.42000000000002,111.12000000000002,12.1,20.3,116.3,126.9
WP062000,KAI-TAK,2000,23,138.9,84.54782608695653,15.7,21.2,118.1,120.9
WP232000,WUKONG,2000,10,120.38000000000001,60.19000000000001,16.8,18.9,116.1,117.8
WP242000,BOPHA,2000,8,101.86,74.08,16.3,21.5,121.9,124.3
WP332000,RUMBIA,2000,17,101.86,76.80352941176471,9.6,11.9,116.0,127.9
WP342000,SOULIK,2000,3,92.60000000000001,83.34,11.0,12.1,127.5,127.8
WP212000,MARIA,2000,2,74.08,69.45,19.1,19.6,116.1,116.2
WP022000,LONGWANG,2000,6,64.82000000000001,43.21333333333333,17.8,20.9,121.6,125.3
WP032000,UNNAMED,2000,5,55.56,51.85600000000001,18.3,21.0,118.3,125.1
WP072000,UNNAMED,2000,9,46.300000000000004,45.27111111111112,14.2,16.0,116.3,127.7
WP102000,BOLAVEN,2000,10,46.300000000000004,43.522000000000006,16.7,21.4,122.1,128.0
WP192000,KAEMI,2000,1,46.300000000000004,46.300000000000004,12.1,12.1,116.0,116.0
WP322000,UNNAMED,2000,5,46.300000000000004,42.596000000000004,18.0,21.7,124.2,125.5
WP042000,UNNAMED,2000,1,37.04,37.04,10.5,10.5,116.6,116.6
WP232001,LEKIMA,2001,19,175.94,113.06947368421054,19.4,21.8,121.2,124.8
WP042001,CHEBI,2001,8,166.68,119.22250000000001,14.6,21.1,119.9,127.9
WP112001,TORAJI,2001,9,166.68,134.78444444444443,17.0,21.3,122.8,127.4
WP272001,LINGLING,2001,16,166.68,88.54875,10.0,13.4,116.0,127.7
WP062001,UTOR,2001,9,148.16,132.72666666666666,16.2,21.4,116.7,128.0
WP102001,YUTU,2001,8,129.64000000000001,69.45,18.7,20.5,116.9,126.7
WP032001,CIMARON,2001,31,92.60000000000001,59.14451612903226,6.5,21.5,119.0,127.7
WP072001,TRAMI,2001,11,74.08,56.401818181818186,15.1,22.0,122.2,128.0
WP292001,UNNAMED,2001,4,64.82000000000001,57.875,7.1,8.3,116.2,118.6
WP302001,KAJIKI,2001,12,64.82000000000001,59.418333333333344,10.1,12.4,116.6,128.0
WP052001,DURIAN,2001,4,55.56,46.300000000000004,15.0,16.3,116.2,117.8
WP282001,UNNAMED,2001,3,55.56,55.56,11.0,11.8,127.3,127.8
WP012001,UNNAMED,2001,18,46.300000000000004,41.67,10.2,15.1,119.1,127.0
WP132001,USAGI,2001,2,46.300000000000004,46.300000000000004,16.8,16.8,116.2,117.5
WP022001,UNNAMED,2001,8,37.04,37.04,12.3,15.5,126.0,127.8
WP182001,FITOW,2001,1,27.78,27.78,18.7,18.7,116.8,116.8
WP072002,NOGURI,2002,10,120.38000000000001,72.22800000000001,20.3,22.0,116.4,124.3
WP012002,TAPAH,2002,9,92.60000000000001,73.05111111111111,12.1,19.1,122.1,128.0
WP132002,UNNAMED,2002,15,64.82000000000001,54.94266666666667,9.1,16.6,120.0,127.9
WP182002,UNNAMED,2002,11,64.82000000000001,45.45818181818182,12.7,15.0,117.2,127.7
