storm_id,storm_name,year,grid_impact_index_v5r,grid_impact_index_v5r_stoch,rank_v5r_det,rank_v5r_stoch,rank_shift,abs_rank_shift
WP182006,XANGSANE,2006,0.9590048443764727,0.7964897238551133,1.0,2.0,-1.0,1.0
WP312013,HAIYAN,2013,0.8360114777618364,0.6340683386431991,2.0,4.0,-2.0,2.0
WP092014,RAMMASUN,2014,0.5254268734054386,0.46562728792259656,3.0,5.0,-2.0,2.0
WP242006,DURIAN,2006,0.40080107570159323,0.35058480256841523,4.0,10.0,-6.0,6.0
WP282021,RAI,2021,0.38005374437102013,0.4327924671977921,5.0,8.0,-3.0,3.0
WP222020,GONI,2020,0.3764108317991542,0.4176409507919926,6.0,9.0,-3.0,3.0
WP222006,CIMARON,2006,0.2760316216483319,0.21384726264897663,7.0,16.0,-9.0,9.0
WP182022,NORU,2022,0.23591073840270171,0.29903931268097006,8.0,11.0,-3.0,3.0
WP292019,KAMMURI,2019,0.20914660108036884,0.1766836554807298,9.0,19.0,-10.0,10.0
WP072008,FENGSHEN,2008,0.1701239963025239,0.8877551020408163,10.0,1.0,9.0,9.0
WP302019,PHANFONE,2019,0.1701239963025239,0.4478599698577654,10.0,7.0,3.0,3.0
WP152010,MEGI,2010,0.15178300567435066,0.2644109684189174,12.0,12.0,0.0,0.0
WP262012,BOPHA,2012,0.11375172283192064,0.172969596493945,13.0,21.0,-8.0,8.0
WP302016,NOCK-TEN,2016,0.10362863668385366,0.20797207316103852,14.0,17.0,-3.0,3.0
WP252020,VAMCO,2020,0.061566431965290026,0.08074239793545798,15.0,30.0,-15.0,15.0
WP112013,UTOR,2013,0.05990528903835675,0.09618622806969453,16.0,28.0,-12.0,12.0
WP222011,NALGAE,2011,0.04161260611152748,0.18554018174087483,17.0,18.0,-1.0,1.0
WP262018,MANGKHUT,2018,0.03048780487804878,0.030612244897959183,18.0,48.0,-30.0,30.0
WP242015,KOPPU,2015,0.018292682926829267,0.251981376612764,19.0,13.0,6.0,6.0
WP202016,MEGI,2016,0.0,0.0,20.0,85.0,-65.0,65.0
WP182016,MALAKAS,2016,0.0,0.0,20.0,85.0,-65.0,65.0
WP162016,MERANTI,2016,0.0,0.0,20.0,85.0,-65.0,65.0
WP152016,NAMTHEUN,2016,0.0,0.0,20.0,85.0,-65.0,65.0
WP222016,AERE,2016,0.0,0.07011498333913352,20.0,34.0,-14.0,14.0
WP022016,NEPARTAK,2016,0.0,0.0,20.0,85.0,-65.0,65.0
WP282015,MELOR,2015,0.0,0.13720691296454898,20.0,24.0,-4.0,4.0
WP222015,MUJIGAE,2015,0.0,0.0,20.0,85.0,-65.0,65.0
WP162015,GONI,2015,0.0,0.0,20.0,85.0,-65.0,65.0
WP122015,UNNAMED,2015,0.0,0.0,20.0,85.0,-65.0,65.0
WP062016,NIDA,2016,0.0,0.0,20.0,85.0,-65.0,65.0
WP212017,DOKSURI,2017,0.0,0.0,20.0,85.0,-65.0,65.0
WP192017,GUCHOL,2017,0.0,0.0,20.0,85.0,-65.0,65.0
WP182017,MAWAR,2017,0.0,0.00510204081632653,20.0,61.0,-41.0,41.0
