storm_id,storm_name,year,n_failed_lines,failed_line_share,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components_after_failure,n_generator_buses_considered,rank
WP312013,HAIYAN,2013,4,0.01694915254237288,0,0.0,0.0,0.0,4,133,1
WP222020,GONI,2020,3,0.012711864406779662,0,0.0,0.0,0.0,3,133,2
WP022000,LONGWANG,2000,0,0.0,0,0.0,0.0,0.0,1,133,3
WP032000,UNNAMED,2000,0,0.0,0,0.0,0.0,0.0,1,133,4
WP042000,UNNAMED,2000,0,0.0,0,0.0,0.0,0.0,1,133,5
WP062000,KAI-TAK,2000,0,0.0,0,0.0,0.0,0.0,1,133,6
WP072000,UNNAMED,2000,0,0.0,0,0.0,0.0,0.0,1,133,7
WP102000,BOLAVEN,2000,0,0.0,0,0.0,0.0,0.0,1,133,8
WP182000,BILIS,2000,0,0.0,0,0.0,0.0,0.0,1,133,9
WP192000,KAEMI,2000,0,0.0,0,0.0,0.0,0.0,1,133,10
WP212000,MARIA,2000,0,0.0,0,0.0,0.0,0.0,1,133,11
WP232000,WUKONG,2000,0,0.0,0,0.0,0.0,0.0,1,133,12
WP242000,BOPHA,2000,0,0.0,0,0.0,0.0,0.0,1,133,13
WP302000,XANGSANE,2000,0,0.0,0,0.0,0.0,0.0,1,133,14
WP312000,BEBINCA,2000,0,0.0,0,0.0,0.0,0.0,1,133,15
WP322000,UNNAMED,2000,0,0.0,0,0.0,0.0,0.0,1,133,16
WP332000,RUMBIA,2000,0,0.0,0,0.0,0.0,0.0,1,133,17
WP342000,SOULIK,2000,0,0.0,0,0.0,0.0,0.0,1,133,18
WP012001,UNNAMED,2001,0,0.0,0,0.0,0.0,0.0,1,133,19
WP022001,UNNAMED,2001,0,0.0,0,0.0,0.0,0.0,1,133,20
WP032001,CIMARON,2001,0,0.0,0,0.0,0.0,0.0,1,133,21
WP042001,CHEBI,2001,0,0.0,0,0.0,0.0,0.0,1,133,22
WP052001,DURIAN,2001,0,0.0,0,0.0,0.0,0.0,1,133,23
WP062001,UTOR,2001,0,0.0,0,0.0,0.0,0.0,1,133,24
WP072001,TRAMI,2001,0,0.0,0,0.0,0.0,0.0,1,133,25
WP102001,YUTU,2001,0,0.0,0,0.0,0.0,0.0,1,133,26
WP112001,TORAJI,2001,0,0.0,0,0.0,0.0,0.0,1,133,27
WP132001,USAGI,2001,0,0.0,0,0.0,0.0,0.0,1,133,28
WP182001,FITOW,2001,0,0.0,0,0.0,0.0,0.0,1,133,29
WP232001,LEKIMA,2001,0,0.0,0,0.0,0.0,0.0,1,133,30
WP272001,LINGLING,2001,0,0.0,0,0.0,0.0,0.0,1,133,31
WP282001,UNNAMED,2001,0,0.0,0,0.0,0.0,0.0,1,133,32
WP292001,UNNAMED,2001,0,0.0,0,0.0,0.0,0.0,1,133,33
WP302001,KAJIKI,2001,0,0.0,0,0.0,0.0,0.0,1,133,34
WP012002,TAPAH,2002,0,0.0,0,0.0,0.0,0.0,1,133,35
WP032002,UNNAMED,2002,0,0.0,0,0.0,0.0,0.0,1,133,36
WP062002,UNNAMED,2002,0,0.0,0,0.0,0.0,0.0,1,133,37
WP072002,NOGURI,2002,0,0.0,0,0.0,0.0,0.0,1,133,38
WP112002,NAKRI,2002,0,0.0,0,0.0,0.0,0.0,1,133,39
WP132002,UNNAMED,2002,0,0.0,0,0.0,0.0,0.0,1,133,40
WP162002,KAMMURI,2002,0,0.0,0,0.0,0.0,0.0,1,133,41
WP182002,UNNAMED,2002,0,0.0,0,0.0,0.0,0.0,1,133,42
WP232002,HAGUPIT,2002,0,0.0,0,0.0,0.0,0.0,1,133,43
WP022003,KUJIRA,2003,0,0.0,0,0.0,0.0,0.0,1,133,44
WP052003,LINFA,2003,0,0.0,0,0.0,0.0,0.0,1,133,45
WP062003,NANGKA,2003,0,0.0,0,0.0,0.0,0.0,1,133,46
WP072003,SOUDELOR,2003,0,0.0,0,0.0,0.0,0.0,1,133,47
WP082003,KONI,2003,0,0.0,0,0.0,0.0,0.0,1,133,48
WP092003,IMBUDO,2003,0,0.0,0,0.0,0.0,0.0,1,133,49
WP102003,MORAKOT,2003,0,0.0,0,0.0,0.0,0.0,1,133,50
WP122003,KROVANH,2003,0,0.0,0,0.0,0.0,0.0,1,133,51
WP132003,VAMCO,2003,0,0.0,0,0.0,0.0,0.0,1,133,52
WP142003,DUJUAN,2003,0,0.0,0,0.0,0.0,0.0,1,133,53
WP162003,CHOI-WAN,2003,0,0.0,0,0.0,0.0,0.0,1,133,54
WP182003,UNNAMED,2003,0,0.0,0,0.0,0.0,0.0,1,133,55
WP222003,UNNAMED,2003,0,0.0,0,0.0,0.0,0.0,1,133,56
WP242003,MELOR,2003,0,0.0,0,0.0,0.0,0.0,1,133,57
WP252003,NEPARTAK,2003,0,0.0,0,0.0,0.0,0.0,1,133,58
WP272003,UNNAMED,2003,0,0.0,0,0.0,0.0,0.0,1,133,59
WP022004,UNNAMED,2004,0,0.0,0,0.0,0.0,0.0,1,133,60
WP042004,NIDA,2004,0,0.0,0,0.0,0.0,0.0,1,133,61
WP072004,CONSON,2004,0,0.0,0,0.0,0.0,0.0,1,133,62
WP082004,CHANTHU,2004,0,0.0,0,0.0,0.0,0.0,1,133,63
WP102004,MINDULLE,2004,0,0.0,0,0.0,0.0,0.0,1,133,64
WP122004,KOMPASU,2004,0,0.0,0,0.0,0.0,0.0,1,133,65
WP202004,AERE,2004,0,0.0,0,0.0,0.0,0.0,1,133,66
WP282004,NOCK-TEN,2004,0,0.0,0,0.0,0.0,0.0,1,133,67
WP292004,MUIFA,2004,0,0.0,0,0.0,0.0,0.0,1,133,68
WP302004,NANMADOL,2004,0,0.0,0,0.0,0.0,0.0,1,133,69
WP022005,ROKE,2005,0,0.0,0,0.0,0.0,0.0,1,133,70
WP052005,HAITANG,2005,0,0.0,0,0.0,0.0,0.0,1,133,71
WP092005,MATSA,2005,0,0.0,0,0.0,0.0,0.0,1,133,72
WP102005,SANVU,2005,0,0.0,0,0.0,0.0,0.0,1,133,73
WP132005,TALIM,2005,0,0.0,0,0.0,0.0,0.0,1,133,74
WP162005,VICENTE,2005,0,0.0,0,0.0,0.0,0.0,1,133,75
WP172005,DAMREY,2005,0,0.0,0,0.0,0.0,0.0,1,133,76
WP222005,KAI-TAK,2005,0,0.0,0,0.0,0.0,0.0,1,133,77
WP232005,TEMBIN,2005,0,0.0,0,0.0,0.0,0.0,1,133,78
WP242005,BOLAVEN,2005,0,0.0,0,0.0,0.0,0.0,1,133,79
WP252005,UNNAMED,2005,0,0.0,0,0.0,0.0,0.0,1,133,80
WP022006,CHANCHU,2006,0,0.0,0,0.0,0.0,0.0,1,133,81
WP032006,JELAWAT,2006,0,0.0,0,0.0,0.0,0.0,1,133,82
WP042006,EWINIAR,2006,0,0.0,0,0.0,0.0,0.0,1,133,83
WP052006,BILIS,2006,0,0.0,0,0.0,0.0,0.0,1,133,84
WP062006,KAEMI,2006,0,0.0,0,0.0,0.0,0.0,1,133,85
WP072006,PRAPIROON,2006,0,0.0,0,0.0,0.0,0.0,1,133,86
WP102006,BOPHA,2006,0,0.0,0,0.0,0.0,0.0,1,133,87
WP122006,SONAMU,2006,0,0.0,0,0.0,0.0,0.0,1,133,88
WP142006,SHANSHAN,2006,0,0.0,0,0.0,0.0,0.0,1,133,89
WP182006,XANGSANE,2006,0,0.0,0,0.0,0.0,0.0,1,133,90
WP222006,CIMARON,2006,0,0.0,0,0.0,0.0,0.0,1,133,91
WP232006,CHEBI,2006,0,0.0,0,0.0,0.0,0.0,1,133,92
WP242006,DURIAN,2006,0,0.0,0,0.0,0.0,0.0,1,133,93
WP252006,UTOR,2006,0,0.0,0,0.0,0.0,0.0,1,133,94
WP072007,PABUK,2007,0,0.0,0,0.0,0.0,0.0,1,133,95
WP082007,WUTIP,2007,0,0.0,0,0.0,0.0,0.0,1,133,96
WP092007,SEPAT,2007,0,0.0,0,0.0,0.0,0.0,1,133,97
WP152007,FRANCISCO,2007,0,0.0,0,0.0,0.0,0.0,1,133,98
WP162007,LEKIMA,2007,0,0.0,0,0.0,0.0,0.0,1,133,99
WP172007,KROSA,2007,0,0.0,0,0.0,0.0,0.0,1,133,100
WP212007,PEIPAH,2007,0,0.0,0,0.0,0.0,0.0,1,133,101
WP232007,HAGIBIS,2007,0,0.0,0,0.0,0.0,0.0,1,133,102
WP242007,MITAG,2007,0,0.0,0,0.0,0.0,0.0,1,133,103
WP012008,UNNAMED,2008,0,0.0,0,0.0,0.0,0.0,1,133,104
WP022008,NEOGURI,2008,0,0.0,0,0.0,0.0,0.0,1,133,105
WP042008,MATMO,2008,0,0.0,0,0.0,0.0,0.0,1,133,106
WP052008,HALONG,2008,0,0.0,0,0.0,0.0,0.0,1,133,107
WP072008,FENGSHEN,2008,0,0.0,0,0.0,0.0,0.0,1,133,108
WP082008,KALMAEGI,2008,0,0.0,0,0.0,0.0,0.0,1,133,109
WP092008,FUNG-WONG,2008,0,0.0,0,0.0,0.0,0.0,1,133,110
WP102008,KAMMURI,2008,0,0.0,0,0.0,0.0,0.0,1,133,111
WP132008,NURI,2008,0,0.0,0,0.0,0.0,0.0,1,133,112
WP142008,UNNAMED,2008,0,0.0,0,0.0,0.0,0.0,1,133,113
WP152008,SINLAKU,2008,0,0.0,0,0.0,0.0,0.0,1,133,114
WP182008,HAGUPIT,2008,0,0.0,0,0.0,0.0,0.0,1,133,115
WP192008,JANGMI,2008,0,0.0,0,0.0,0.0,0.0,1,133,116
WP212008,HIGOS,2008,0,0.0,0,0.0,0.0,0.0,1,133,117
WP242008,MAYSAK,2008,0,0.0,0,0.0,0.0,0.0,1,133,118
WP262008,NOUL,2008,0,0.0,0,0.0,0.0,0.0,1,133,119
WP012009,KUJIRA,2009,0,0.0,0,0.0,0.0,0.0,1,133,120
WP022009,CHAN-HOM,2009,0,0.0,0,0.0,0.0,0.0,1,133,121
WP032009,LINFA,2009,0,0.0,0,0.0,0.0,0.0,1,133,122
WP042009,NANGKA,2009,0,0.0,0,0.0,0.0,0.0,1,133,123
WP052009,SOUDELOR,2009,0,0.0,0,0.0,0.0,0.0,1,133,124
WP062009,UNNAMED,2009,0,0.0,0,0.0,0.0,0.0,1,133,125
WP072009,MOLAVE,2009,0,0.0,0,0.0,0.0,0.0,1,133,126
WP082009,GONI,2009,0,0.0,0,0.0,0.0,0.0,1,133,127
WP142009,MUJIGAE,2009,0,0.0,0,0.0,0.0,0.0,1,133,128
WP162009,KOPPU,2009,0,0.0,0,0.0,0.0,0.0,1,133,129
WP172009,KETSANA,2009,0,0.0,0,0.0,0.0,0.0,1,133,130
WP192009,PARMA,2009,0,0.0,0,0.0,0.0,0.0,1,133,131
WP222009,LUPIT,2009,0,0.0,0,0.0,0.0,0.0,1,133,132
WP232009,MIRINAE,2009,0,0.0,0,0.0,0.0,0.0,1,133,133
WP242009,UNNAMED,2009,0,0.0,0,0.0,0.0,0.0,1,133,134
WP272009,UNNAMED,2009,0,0.0,0,0.0,0.0,0.0,1,133,135
WP032010,CONSON,2010,0,0.0,0,0.0,0.0,0.0,1,133,136
WP042010,CHANTHU,2010,0,0.0,0,0.0,0.0,0.0,1,133,137
WP052010,DIANMU,2010,0,0.0,0,0.0,0.0,0.0,1,133,138
WP062010,MINDULLE,2010,0,0.0,0,0.0,0.0,0.0,1,133,139
WP072010,LIONROCK,2010,0,0.0,0,0.0,0.0,0.0,1,133,140
WP112010,MERANTI,2010,0,0.0,0,0.0,0.0,0.0,1,133,141
WP122010,FANAPI,2010,0,0.0,0,0.0,0.0,0.0,1,133,142
WP152010,MEGI,2010,0,0.0,0,0.0,0.0,0.0,1,133,143
WP162010,CHABA,2010,0,0.0,0,0.0,0.0,0.0,1,133,144
WP032011,AERE,2011,0,0.0,0,0.0,0.0,0.0,1,133,145
WP042011,SONGDA,2011,0,0.0,0,0.0,0.0,0.0,1,133,146
WP052011,SARIKA,2011,0,0.0,0,0.0,0.0,0.0,1,133,147
WP062011,HAIMA,2011,0,0.0,0,0.0,0.0,0.0,1,133,148
WP072011,MEARI,2011,0,0.0,0,0.0,0.0,0.0,1,133,149
WP102011,NOCK-TEN,2011,0,0.0,0,0.0,0.0,0.0,1,133,150
WP142011,NANMADOL,2011,0,0.0,0,0.0,0.0,0.0,1,133,151
WP202011,NESAT,2011,0,0.0,0,0.0,0.0,0.0,1,133,152
WP222011,NALGAE,2011,0,0.0,0,0.0,0.0,0.0,1,133,153
WP232011,BANYAN,2011,0,0.0,0,0.0,0.0,0.0,1,133,154
WP262011,UNNAMED,2011,0,0.0,0,0.0,0.0,0.0,1,133,155
WP272011,WASHI,2011,0,0.0,0,0.0,0.0,0.0,1,133,156
WP012012,UNNAMED,2012,0,0.0,0,0.0,0.0,0.0,1,133,157
WP042012,MAWAR,2012,0,0.0,0,0.0,0.0,0.0,1,133,158
WP052012,GUCHOL,2012,0,0.0,0,0.0,0.0,0.0,1,133,159
WP062012,TALIM,2012,0,0.0,0,0.0,0.0,0.0,1,133,160
WP072012,DOKSURI,2012,0,0.0,0,0.0,0.0,0.0,1,133,161
WP092012,VICENTE,2012,0,0.0,0,0.0,0.0,0.0,1,133,162
WP102012,SAOLA,2012,0,0.0,0,0.0,0.0,0.0,1,133,163
