storm_id,storm_name,year,peak_t,peak_affected_population_proxy,peak_affected_population_share_proxy,peak_n_unserved_buses,peak_unserved_bus_share,peak_n_failed_lines_cumulative,peak_failed_line_share_cumulative,final_affected_population_proxy,final_n_unserved_buses,final_n_failed_lines_cumulative,n_timesteps,n_generator_buses_considered,rank,peak_affected_population_proxy_norm,peak_n_failed_lines_norm,peak_n_unserved_buses_norm,grid_impact_index_v3,rank_index
WP312013,HAIYAN,2013,0,0.0,0.0,0,0.0,7,0.029661016949152543,0.0,0,7,6,133,1,0.0,1.0,0.0,0.25,1
WP182006,XANGSANE,2006,0,0.0,0.0,0,0.0,4,0.01694915254237288,0.0,0,4,14,133,2,0.0,0.5714285714285714,0.0,0.14285714285714285,2
WP222020,GONI,2020,0,0.0,0.0,0,0.0,4,0.01694915254237288,0.0,0,4,11,133,3,0.0,0.5714285714285714,0.0,0.14285714285714285,3
WP182022,NORU,2022,0,0.0,0.0,0,0.0,2,0.00847457627118644,0.0,0,2,20,133,4,0.0,0.2857142857142857,0.0,0.07142857142857142,4
WP242006,DURIAN,2006,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,13,133,5,0.0,0.14285714285714285,0.0,0.03571428571428571,5
WP222011,NALGAE,2011,0,0.0,0.0,0,0.0,1,0.00423728813559322,0.0,0,1,10,133,6,0.0,0.14285714285714285,0.0,0.03571428571428571,6
WP022000,LONGWANG,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,133,7,0.0,0.0,0.0,0.0,7
WP032000,UNNAMED,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,133,8,0.0,0.0,0.0,0.0,8
WP042000,UNNAMED,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,133,9,0.0,0.0,0.0,0.0,9
WP062000,KAI-TAK,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,23,133,10,0.0,0.0,0.0,0.0,10
WP072000,UNNAMED,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,133,11,0.0,0.0,0.0,0.0,11
