storm_id,storm_name,year,peak_t,peak_affected_population_proxy,peak_affected_population_share_proxy,peak_n_unserved_buses,peak_unserved_bus_share,peak_n_failed_lines_cumulative,peak_failed_line_share_cumulative,final_affected_population_proxy,final_n_unserved_buses,final_n_failed_lines_cumulative,n_timesteps,peak_affected_population_proxy_norm,peak_n_failed_lines_norm,peak_n_unserved_buses_norm,grid_impact_index_v5r,rank_index
WP182006,XANGSANE,2006,10,16205709.37894857,0.10485378386557143,17,0.08854166666666667,41,0.17372881355932204,16205709.37894857,17,41,14,0.9316747406274546,1.0,1.0,0.9590048443764727,1
WP312013,HAIYAN,2013,2,17394170.59652655,0.11254333652424192,15,0.078125,17,0.07203389830508475,17394170.59652655,15,17,6,1.0,0.4146341463414634,0.8823529411764706,0.8360114777618364,2
WP092014,RAMMASUN,2014,4,11497227.778157592,0.07438908154617266,7,0.036458333333333336,11,0.046610169491525424,11497227.778157592,7,11,9,0.660981661318964,0.2682926829268293,0.4117647058823529,0.5254268734054386,3
WP242006,DURIAN,2006,4,8042343.66824019,0.05203537500541154,5,0.026041666666666668,13,0.05508474576271186,8042343.66824019,5,13,13,0.46235855993307146,0.3170731707317073,0.29411764705882354,0.40080107570159323,4
WP282021,RAI,2021,2,7203792.833832979,0.04660980393689391,8,0.041666666666666664,10,0.0423728813559322,7203792.833832979,8,10,9,0.41414983220134155,0.24390243902439024,0.47058823529411764,0.38005374437102013,5
WP222020,GONI,2020,3,8042343.66824019,0.05203537500541154,5,0.026041666666666668,9,0.038135593220338986,8042343.66824019,5,9,11,0.46235855993307146,0.21951219512195122,0.29411764705882354,0.3764108317991542,6
WP222006,CIMARON,2006,7,5485861.878168464,0.03549448914819265,5,0.026041666666666668,7,0.029661016949152543,5485861.878168464,5,7,27,0.3153850796004001,0.17073170731707318,0.29411764705882354,0.2760316216483319,7
WP182022,NORU,2022,13,3164382.480725229,0.020474110015385887,4,0.020833333333333332,15,0.0635593220338983,3164382.480725229,4,15,20,0.1819220102024943,0.36585365853658536,0.23529411764705882,0.23591073840270171,8
WP292019,KAMMURI,2019,4,4588749.446650982,0.029690014268515752,3,0.015625,4,0.01694915254237288,4588749.446650982,3,4,12,0.26380961490439286,0.0975609756097561,0.17647058823529413,0.20914660108036884,9
WP072008,FENGSHEN,2008,5,4499376.370941281,0.029111754783248203,1,0.005208333333333333,1,0.00423728813559322,4499376.370941281,1,1,17,0.2586715098585824,0.024390243902439025,0.058823529411764705,0.1701239963025239,10
WP302019,PHANFONE,2019,4,4499376.370941281,0.029111754783248203,1,0.005208333333333333,1,0.00423728813559322,4499376.370941281,1,1,16,0.2586715098585824,0.024390243902439025,0.058823529411764705,0.1701239963025239,11
